"id","url","quality_score","band","public","blockers","evidence"
"expedicion-al-avion-de-los-uruguayos","/baza-znaniy/expedicion-al-avion-de-los-uruguayos","100","ready","no","none","publication-quality.ts strict readiness"
"expediciones-en-el-lago-huechulafquen","/baza-znaniy/expediciones-en-el-lago-huechulafquen","100","ready","no","none","publication-quality.ts strict readiness"
"falshivye-policejskie-i-obmenniki","/baza-znaniy/falshivye-policejskie-i-obmenniki","100","ready","yes","none","publication-quality.ts strict readiness"
"federacion","/baza-znaniy/federacion","100","ready","no","none","publication-quality.ts strict readiness"
"feria-de-simoca","/baza-znaniy/feria-de-simoca","100","ready","no","none","publication-quality.ts strict readiness"
"festival-de-cosquin","/baza-znaniy/festival-de-cosquin","100","ready","no","none","publication-quality.ts strict readiness"
"fiambala","/baza-znaniy/fiambala","100","ready","no","none","publication-quality.ts strict readiness"
"fiesta-nacional-del-canotaje-en-chaco","/baza-znaniy/fiesta-nacional-del-canotaje-en-chaco","100","ready","no","none","publication-quality.ts strict readiness"
"fiesta-nacional-del-sol-en-san-juan","/baza-znaniy/fiesta-nacional-del-sol-en-san-juan","100","ready","no","none","publication-quality.ts strict readiness"
"fiestas-y-festivales-en-cordoba","/baza-znaniy/fiestas-y-festivales-en-cordoba","100","ready","no","none","publication-quality.ts strict readiness"
"folklor-i-muzyka","/baza-znaniy/folklor-i-muzyka","100","ready","no","none","publication-quality.ts strict readiness"
"formosa","/baza-znaniy/formosa","100","ready","yes","none","publication-quality.ts strict readiness"
"frutas-de-pepita-en-el-alto-valle-del-rio-negro","/baza-znaniy/frutas-de-pepita-en-el-alto-valle-del-rio-negro","100","ready","no","none","publication-quality.ts strict readiness"
"futbol","/baza-znaniy/futbol","100","ready","yes","none","publication-quality.ts strict readiness"
"futbol-kak-popast-bez-skama","/baza-znaniy/futbol-kak-popast-bez-skama","100","ready","yes","none","publication-quality.ts strict readiness"
"gaiman","/baza-znaniy/gaiman","100","ready","no","none","publication-quality.ts strict readiness"
"galeses-en-argentina","/baza-znaniy/galeses-en-argentina","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-de-chaco","/baza-znaniy/gastronomia-de-chaco","100","ready","yes","none","publication-quality.ts strict readiness"
"gastronomia-de-entre-rios","/baza-znaniy/gastronomia-de-entre-rios","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-de-jujuy","/baza-znaniy/gastronomia-de-jujuy","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-de-la-pampa","/baza-znaniy/gastronomia-de-la-pampa","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-de-misiones","/baza-znaniy/gastronomia-de-misiones","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-de-tierra-del-fuego","/baza-znaniy/gastronomia-de-tierra-del-fuego","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-en-cordoba","/baza-znaniy/gastronomia-en-cordoba","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-en-santa-fe","/baza-znaniy/gastronomia-en-santa-fe","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-en-santiago-del-estero","/baza-znaniy/gastronomia-en-santiago-del-estero","100","ready","no","none","publication-quality.ts strict readiness"
"gastronomia-portena","/baza-znaniy/gastronomia-portena","100","ready","no","none","publication-quality.ts strict readiness"
"gde-luchshiy-karnaval-v-argentine","/baza-znaniy/gde-luchshiy-karnaval-v-argentine","100","ready","yes","none","publication-quality.ts strict readiness"
"general-acha","/baza-znaniy/general-acha","100","ready","no","none","publication-quality.ts strict readiness"
"gid-po-dengam","/baza-znaniy/gid-po-dengam","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-po-dokumentam","/baza-znaniy/gid-po-dokumentam","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-po-kulture","/baza-znaniy/gid-po-kulture","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-po-medicine","/baza-znaniy/gid-po-medicine","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-po-transportu","/baza-znaniy/gid-po-transportu","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-po-zhilyu","/baza-znaniy/gid-po-zhilyu","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-puteshestvennika","/baza-znaniy/gid-puteshestvennika","100","ready","yes","none","publication-quality.ts strict readiness"
"gid-relokanta","/baza-znaniy/gid-relokanta","100","ready","yes","none","publication-quality.ts strict readiness"
"glaciar-huemul","/baza-znaniy/glaciar-huemul","100","ready","no","none","publication-quality.ts strict readiness"
"glaciar-ojo-del-albino","/baza-znaniy/glaciar-ojo-del-albino","100","ready","no","none","publication-quality.ts strict readiness"
"golf-en-mendoza","/baza-znaniy/golf-en-mendoza","100","ready","no","none","publication-quality.ts strict readiness"
"golf-en-tierra-del-fuego","/baza-znaniy/golf-en-tierra-del-fuego","100","ready","no","none","publication-quality.ts strict readiness"
"gosudarstvennye-prilozheniya","/baza-znaniy/gosudarstvennye-prilozheniya","100","ready","yes","none","publication-quality.ts strict readiness"
"govoryat-li-v-argentine-po-anglijski","/baza-znaniy/govoryat-li-v-argentine-po-anglijski","100","ready","yes","none","publication-quality.ts strict readiness"
"grazhdanstvo","/baza-znaniy/grazhdanstvo","100","ready","yes","none","publication-quality.ts strict readiness"
"gualeguaychu","/baza-znaniy/gualeguaychu","100","ready","no","none","publication-quality.ts strict readiness"
"herradura","/baza-znaniy/herradura","100","ready","no","none","publication-quality.ts strict readiness"
"hornocal","/baza-znaniy/hornocal","100","ready","yes","none","publication-quality.ts strict readiness"
"humahuaca","/baza-znaniy/humahuaca","100","ready","no","none","publication-quality.ts strict readiness"
"ibera","/baza-znaniy/ibera","100","ready","yes","none","publication-quality.ts strict readiness"
"ibera-rassvet-i-tihie-portaly","/baza-znaniy/ibera-rassvet-i-tihie-portaly","100","ready","yes","none","publication-quality.ts strict readiness"
"iglesia-nuestra-senora-del-rosario-y-san-francisco","/baza-znaniy/iglesia-nuestra-senora-del-rosario-y-san-francisco","100","ready","no","none","publication-quality.ts strict readiness"
"iguasu","/baza-znaniy/iguasu","100","ready","yes","none","publication-quality.ts strict readiness"
"iguasu-foto-sekrety","/baza-znaniy/iguasu-foto-sekrety","100","ready","no","none","publication-quality.ts strict readiness"
"iguasu-ritm-bez-tolp-i-sveta","/baza-znaniy/iguasu-ritm-bez-tolp-i-sveta","100","ready","no","none","publication-quality.ts strict readiness"
"inflyatsiya-i-ekonomika","/baza-znaniy/inflyatsiya-i-ekonomika","100","ready","no","none","publication-quality.ts strict readiness"
"intendente-alvear","/baza-znaniy/intendente-alvear","100","ready","no","none","publication-quality.ts strict readiness"
"interesnye-fakty","/baza-znaniy/interesnye-fakty","100","ready","no","none","publication-quality.ts strict readiness"
"iruya","/baza-znaniy/iruya","100","ready","no","none","publication-quality.ts strict readiness"
"ischigualasto","/baza-znaniy/ischigualasto","100","ready","yes","none","publication-quality.ts strict readiness"
"isla-del-cerrito","/baza-znaniy/isla-del-cerrito","100","ready","no","none","publication-quality.ts strict readiness"
